[2026-04-22T08:11:37.790Z] POST /api/auth/login | IP: ::1
[2026-04-22T10:22:38.104Z] GET /api/admin/users/search?q=student | IP: ::1
[2026-04-22T10:23:42.916Z] POST /api/auth/login | IP: ::1
[2026-04-22T10:23:43.130Z] GET /api/admin/users/search?q= | IP: ::1
[2026-04-22T10:23:56.619Z] POST /api/auth/login | IP: ::1
[2026-04-22T10:23:57.014Z] GET /api/admin/users/search | IP: ::1
[2026-04-22T10:24:27.743Z] POST /api/auth/login | IP: ::1
[2026-04-22T10:24:28.078Z] GET /api/admin/users/search?q= | IP: ::1
[2026-04-22T10:24:53.562Z] POST /api/auth/login | IP: ::1
[2026-04-22T10:24:53.801Z] GET /api/admin/users/search?q= | IP: ::1
[2026-04-22T10:24:53.879Z] GET /api/admin/users/search?q=student | IP: ::1
[2026-04-22T10:25:29.477Z] POST /api/auth/login | IP: ::1
[2026-04-22T10:25:29.945Z] GET /api/admin/users/search?q=abc | IP: ::1
[2026-04-22T10:25:43.719Z] POST /api/auth/login | IP: ::1
[2026-04-22T10:25:43.972Z] GET /api/admin/users/search?q=%20 | IP: ::1
[2026-04-22T10:26:04.479Z] POST /api/auth/login | IP: ::1
[2026-04-22T10:26:04.771Z] GET /api/admin/users/search?q=student | IP: ::1
[2026-04-22T10:27:02.884Z] POST /api/auth/login | IP: ::1
[2026-04-22T10:27:03.433Z] GET /api/admin/users/search?q= | IP: ::1
[2026-04-22T10:27:52.615Z] POST /api/auth/logout | IP: ::1
[2026-04-22T10:28:03.915Z] POST /api/auth/login | IP: ::1
[2026-04-22T10:28:04.655Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T10:28:04.659Z] GET /api/dashboard | IP: ::1
[2026-04-22T10:28:05.557Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T10:28:05.578Z] GET /api/dashboard | IP: ::1
[2026-04-22T10:28:06.746Z] GET /api/admin/users/search?q= | IP: ::1
[2026-04-22T10:28:06.998Z] GET /api/admin/users/search?q= | IP: ::1
[2026-04-22T10:28:24.254Z] GET /api/dashboard | IP: ::1
[2026-04-22T10:28:24.258Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T10:28:24.606Z] GET /api/dashboard | IP: ::1
[2026-04-22T10:28:24.643Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T10:43:23.359Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T10:43:23.366Z] GET /api/dashboard | IP: ::1
[2026-04-22T10:45:02.104Z] GET /api/admin/attendance/users | IP: ::1
[2026-04-22T10:45:02.305Z] GET /api/admin/attendance/check?date=2026-04-22 | IP: ::1
[2026-04-22T10:45:25.882Z] POST /api/admin/attendance/submit | IP: ::1
[2026-04-22T10:45:39.613Z] GET /api/dashboard | IP: ::1
[2026-04-22T10:45:39.630Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T10:45:39.728Z] GET /api/dashboard | IP: ::1
[2026-04-22T10:45:39.747Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T10:45:42.157Z] GET /api/admin/users/search?q= | IP: ::1
[2026-04-22T10:45:42.290Z] GET /api/admin/users/search?q= | IP: ::1
[2026-04-22T10:45:43.655Z] GET /api/dashboard | IP: ::1
[2026-04-22T10:45:43.660Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T10:45:43.760Z] GET /api/dashboard | IP: ::1
[2026-04-22T10:45:43.768Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T10:45:44.713Z] GET /api/admin/users/search?q= | IP: ::1
[2026-04-22T10:45:44.848Z] GET /api/admin/users/search?q= | IP: ::1
[2026-04-22T10:45:46.508Z] GET /api/dashboard | IP: ::1
[2026-04-22T10:45:46.512Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T10:45:46.614Z] GET /api/dashboard | IP: ::1
[2026-04-22T10:45:46.623Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T10:45:48.634Z] GET /api/admin/attendance/users | IP: ::1
[2026-04-22T10:45:48.815Z] GET /api/admin/attendance/check?date=2026-04-22 | IP: ::1
[2026-04-22T10:53:24.322Z] GET /api/admin/activity-logs | IP: ::ffff:127.0.0.1
[2026-04-22T10:53:24.331Z] GET /api/dashboard | IP: ::1
[2026-04-22T10:54:52.073Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T10:54:52.077Z] GET /api/dashboard | IP: ::1
[2026-04-22T10:54:52.191Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T10:54:52.197Z] GET /api/dashboard | IP: ::1
[2026-04-22T10:54:53.606Z] GET /api/dashboard | IP: ::1
[2026-04-22T10:54:53.610Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T10:54:53.742Z] GET /api/dashboard | IP: ::1
[2026-04-22T10:54:53.748Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T10:54:54.464Z] GET /api/dashboard | IP: ::1
[2026-04-22T10:54:54.466Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T10:54:54.580Z] GET /api/dashboard | IP: ::1
[2026-04-22T10:54:54.598Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T10:54:55.562Z] GET /api/admin/users/search?q= | IP: ::1
[2026-04-22T10:54:55.700Z] GET /api/admin/users/search?q= | IP: ::1
[2026-04-22T10:54:56.352Z] GET /api/dashboard | IP: ::1
[2026-04-22T10:54:56.364Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T10:54:56.451Z] GET /api/dashboard | IP: ::1
[2026-04-22T10:54:56.465Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T10:54:56.895Z] GET /api/dashboard | IP: ::1
[2026-04-22T10:54:56.901Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T10:54:56.997Z] GET /api/dashboard | IP: ::1
[2026-04-22T10:54:57.005Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T10:54:57.573Z] GET /api/dashboard | IP: ::1
[2026-04-22T10:54:57.578Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T10:54:57.673Z] GET /api/dashboard | IP: ::1
[2026-04-22T10:54:57.683Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T10:54:58.138Z] GET /api/dashboard | IP: ::1
[2026-04-22T10:54:58.142Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T10:54:58.237Z] GET /api/dashboard | IP: ::1
[2026-04-22T10:54:58.245Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T10:54:58.458Z] GET /api/dashboard | IP: ::1
[2026-04-22T10:54:58.464Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T10:54:58.560Z] GET /api/dashboard | IP: ::1
[2026-04-22T10:54:58.669Z] GET /api/dashboard | IP: ::1
[2026-04-22T10:54:58.780Z] GET /api/dashboard | IP: ::1
[2026-04-22T10:54:58.798Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T10:54:58.959Z] GET /api/dashboard | IP: ::1
[2026-04-22T10:54:58.976Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T10:54:59.136Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T10:54:59.139Z] GET /api/dashboard | IP: ::1
[2026-04-22T10:54:59.249Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T10:54:59.252Z] GET /api/dashboard | IP: ::1
[2026-04-22T10:54:59.357Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T10:54:59.360Z] GET /api/dashboard | IP: ::1
[2026-04-22T10:54:59.460Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T10:54:59.462Z] GET /api/dashboard | IP: ::1
[2026-04-22T10:54:59.563Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T10:54:59.566Z] GET /api/dashboard | IP: ::1
[2026-04-22T10:54:59.669Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T10:54:59.672Z] GET /api/dashboard | IP: ::1
[2026-04-22T10:55:00.242Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T10:55:00.268Z] GET /api/dashboard | IP: ::1
[2026-04-22T10:55:00.658Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T10:55:01.088Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T10:58:24.330Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T10:58:24.333Z] GET /api/dashboard | IP: ::1
[2026-04-22T10:59:10.315Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T10:59:10.318Z] GET /api/dashboard | IP: ::1
[2026-04-22T11:01:05.895Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T11:01:05.897Z] GET /api/dashboard | IP: ::1
[2026-04-22T11:01:06.323Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T11:01:06.443Z] GET /api/dashboard | IP: ::1
[2026-04-22T11:01:07.089Z] GET /api/dashboard | IP: ::1
[2026-04-22T11:01:07.096Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T11:01:07.206Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T11:01:07.209Z] GET /api/dashboard | IP: ::1
[2026-04-22T11:01:07.755Z] GET /api/dashboard | IP: ::1
[2026-04-22T11:01:07.761Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T11:01:07.850Z] GET /api/dashboard | IP: ::1
[2026-04-22T11:01:07.859Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T11:01:07.956Z] GET /api/dashboard | IP: ::1
[2026-04-22T11:01:07.961Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T11:01:08.052Z] GET /api/dashboard | IP: ::1
[2026-04-22T11:01:08.062Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T11:01:08.146Z] GET /api/dashboard | IP: ::1
[2026-04-22T11:01:08.160Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T11:01:08.242Z] GET /api/dashboard | IP: ::1
[2026-04-22T11:01:08.259Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T11:01:08.423Z] GET /api/dashboard | IP: ::1
[2026-04-22T11:01:08.426Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T11:01:08.523Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T11:01:08.521Z] GET /api/dashboard | IP: ::1
[2026-04-22T11:01:08.623Z] GET /api/dashboard | IP: ::1
[2026-04-22T11:01:08.624Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T11:01:08.723Z] GET /api/dashboard | IP: ::1
[2026-04-22T11:01:08.738Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T11:01:08.826Z] GET /api/dashboard | IP: ::1
[2026-04-22T11:01:08.840Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T11:01:08.946Z] GET /api/dashboard | IP: ::1
[2026-04-22T11:01:08.980Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T11:01:09.065Z] GET /api/dashboard | IP: ::1
[2026-04-22T11:01:09.091Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T11:01:09.165Z] GET /api/dashboard | IP: ::1
[2026-04-22T11:01:09.190Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T11:01:09.265Z] GET /api/dashboard | IP: ::1
[2026-04-22T11:01:09.285Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T11:01:09.596Z] GET /api/dashboard | IP: ::1
[2026-04-22T11:01:09.612Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T11:01:09.701Z] GET /api/dashboard | IP: ::1
